AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
<1|~|~|~|~|XII(a) Other specified malignant tumors|3926677|2012
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|16053832|2012
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|20670899|2012
15-19|0.5|1.4|0.9|19|XII(b) Other unspecified malignant tumors|21373766|2012
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|20470950|2012
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3926677|2012
1-4|221.1|236.0|228.5|3638|All ICCC Groups Combined|15922787|2013
10-14|140.6|151.1|145.8|3011|All ICCC Groups Combined|20651132|2013
15-19|213.7|226.4|220.0|4660|All ICCC Groups Combined|21180036|2013
5-9|125.8|135.7|130.7|2689|All ICCC Groups Combined|20572514|2013
<1|269.9|303.6|286.4|1126|All ICCC Groups Combined|3931346|2013
1-4|81.5|90.7|86.0|1369|I Leukemias, myeloproliferative & myelodysplastic diseases|15922787|2013
10-14|29.4|34.3|31.8|656|I Leukemias, myeloproliferative & myelodysplastic diseases|20651132|2013
15-19|31.1|36.1|33.6|711|I Leukemias, myeloproliferative & myelodysplastic diseases|21180036|2013
5-9|40.0|45.7|42.8|880|I Leukemias, myeloproliferative & myelodysplastic diseases|20572514|2013
<1|47.9|62.8|54.9|216|I Leukemias, myeloproliferative & myelodysplastic diseases|3931346|2013
1-4|67.3|75.7|71.4|1137|I(a) Lymphoid leukemias|15922787|2013
10-14|18.3|22.2|20.1|416|I(a) Lymphoid leukemias|20651132|2013
15-19|14.4|17.9|16.1|341|I(a) Lymphoid leukemias|21180036|2013
5-9|31.6|36.7|34.1|702|I(a) Lymphoid leukemias|20572514|2013
<1|13.4|21.9|17.3|68|I(a) Lymphoid leukemias|3931346|2013
1-4|8.4|11.5|9.9|157|I(b) Acute myeloid leukemias|15922787|2013
10-14|6.1|8.5|7.3|150|I(b) Acute myeloid leukemias|20651132|2013
15-19|8.3|10.9|9.5|202|I(b) Acute myeloid leukemias|21180036|2013
5-9|4.0|6.0|5.0|102|I(b) Acute myeloid leukemias|20572514|2013
<1|13.9|22.5|17.8|70|I(b) Acute myeloid leukemias|3931346|2013
1-4|~|~|~|~|I(c) Chronic myeloproliferative diseases|15922787|2013
10-14|1.3|2.6|1.9|39|I(c) Chronic myeloproliferative diseases|20651132|2013
15-19|3.6|5.4|4.4|94|I(c) Chronic myeloproliferative diseases|21180036|2013
5-9|0.6|1.6|1.0|21|I(c) Chronic myeloproliferative diseases|20572514|2013
<1|4.5|10.0|6.9|27|I(c) Chronic myeloproliferative diseases|3931346|2013
1-4|0.9|2.1|1.4|22|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|15922787|2013
10-14|0.6|1.5|1.0|20|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20651132|2013
15-19|1.4|2.6|1.9|41|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|21180036|2013
5-9|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20572514|2013
<1|6.2|12.4|8.9|35|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3931346|2013
1-4|1.7|3.3|2.4|39|I(e) Unspecified and other specified leukemias|15922787|2013
10-14|1.0|2.1|1.5|31|I(e) Unspecified and other specified leukemias|20651132|2013
15-19|1.1|2.2|1.6|33|I(e) Unspecified and other specified leukemias|21180036|2013
5-9|1.6|2.9|2.2|45|I(e) Unspecified and other specified leukemias|20572514|2013
<1|2.3|6.6|4.1|16|I(e) Unspecified and other specified leukemias|3931346|2013
1-4|15.2|19.4|17.2|274|II Lymphomas and reticuloendothelial neoplasms|15922787|2013
10-14|24.7|29.2|26.9|555|II Lymphomas and reticuloendothelial neoplasms|20651132|2013
15-19|44.7|50.6|47.6|1008|II Lymphomas and reticuloendothelial neoplasms|21180036|2013
5-9|17.0|20.8|18.8|387|II Lymphomas and reticuloendothelial neoplasms|20572514|2013
<1|21.4|31.8|26.2|103|II Lymphomas and reticuloendothelial neoplasms|3931346|2013
1-4|~|~|~|~|II(a) Hodgkin lymphomas|15922787|2013
10-14|9.4|12.3|10.8|223|II(a) Hodgkin lymphomas|20651132|2013
15-19|27.1|31.8|29.4|623|II(a) Hodgkin lymphomas|21180036|2013
5-9|3.7|5.6|4.6|95|II(a) Hodgkin lymphomas|20572514|2013
<1|~|~|~|~|II(a) Hodgkin lymphomas|3931346|2013
1-4|4.7|7.1|5.8|92|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|15922787|2013
10-14|9.2|12.0|10.5|217|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20651132|2013
15-19|12.4|15.7|14.0|296|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|21180036|2013
5-9|5.1|7.3|6.1|126|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20572514|2013
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3931346|2013
1-4|1.7|3.3|2.4|38|II(c) Burkitt lymphoma|15922787|2013
10-14|1.5|2.7|2.0|42|II(c) Burkitt lymphoma|20651132|2013
15-19|1.7|3.0|2.3|48|II(c) Burkitt lymphoma|21180036|2013
5-9|2.2|3.8|2.9|60|II(c) Burkitt lymphoma|20572514|2013
<1|~|~|~|~|II(c) Burkitt lymphoma|3931346|2013
1-4|6.8|9.6|8.1|129|II(d) Miscellaneous lymphoreticular neoplasms|15922787|2013
10-14|2.5|4.1|3.2|67|II(d) Miscellaneous lymphoreticular neoplasms|20651132|2013
15-19|0.8|1.7|1.2|25|II(d) Miscellaneous lymphoreticular neoplasms|21180036|2013
5-9|3.9|5.9|4.8|99|II(d) Miscellaneous lymphoreticular neoplasms|20572514|2013
<1|18.0|27.6|22.4|88|II(d) Miscellaneous lymphoreticular neoplasms|3931346|2013
1-4|~|~|~|~|II(e) Unspecified lymphomas|15922787|2013
10-14|~|~|~|~|II(e) Unspecified lymphomas|20651132|2013
15-19|0.4|1.2|0.8|16|II(e) Unspecified lymphomas|21180036|2013
5-9|~|~|~|~|II(e) Unspecified lymphomas|20572514|2013
<1|~|~|~|~|II(e) Unspecified lymphomas|3931346|2013
1-4|42.0|48.7|45.3|721|III CNS and misc intracranial and intraspinal neoplasms|15922787|2013
10-14|28.5|33.3|30.8|636|III CNS and misc intracranial and intraspinal neoplasms|20651132|2013
15-19|20.3|24.4|22.3|472|III CNS and misc intracranial and intraspinal neoplasms|21180036|2013
5-9|32.6|37.8|35.1|723|III CNS and misc intracranial and intraspinal neoplasms|20572514|2013
<1|28.3|40.1|33.8|133|III CNS and misc intracranial and intraspinal neoplasms|3931346|2013
1-4|4.0|6.3|5.0|80|III(a) Ependymomas and choroid plexus tumor|15922787|2013
10-14|1.3|2.6|1.9|39|III(a) Ependymomas and choroid plexus tumor|20651132|2013
15-19|0.9|2.0|1.4|29|III(a) Ependymomas and choroid plexus tumor|21180036|2013
5-9|2.0|3.5|2.7|55|III(a) Ependymomas and choroid plexus tumor|20572514|2013
<1|~|~|~|~|III(a) Ependymomas and choroid plexus tumor|3931346|2013
1-4|20.6|25.3|22.9|364|III(b) Astrocytomas|15922787|2013
10-14|15.6|19.3|17.4|359|III(b) Astrocytomas|20651132|2013
15-19|11.7|14.9|13.2|280|III(b) Astrocytomas|21180036|2013
5-9|16.5|20.2|18.3|376|III(b) Astrocytomas|20572514|2013
<1|11.9|19.9|15.5|61|III(b) Astrocytomas|3931346|2013
1-4|8.6|11.7|10.0|160|III(c) Intracranial and intraspinal embryonal tumors|15922787|2013
10-14|3.6|5.5|4.5|93|III(c) Intracranial and intraspinal embryonal tumors|20651132|2013
15-19|1.6|2.9|2.2|46|III(c) Intracranial and intraspinal embryonal tumors|21180036|2013
5-9|5.3|7.5|6.3|130|III(c) Intracranial and intraspinal embryonal tumors|20572514|2013
<1|7.3|13.9|10.2|40|III(c) Intracranial and intraspinal embryonal tumors|3931346|2013
1-4|5.0|7.5|6.2|98|III(d) Other gliomas|15922787|2013
10-14|4.8|6.9|5.8|120|III(d) Other gliomas|20651132|2013
15-19|3.5|5.3|4.3|91|III(d) Other gliomas|21180036|2013
5-9|5.7|8.0|6.8|140|III(d) Other gliomas|20572514|2013
<1|~|~|~|~|III(d) Other gliomas|3931346|2013
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|15922787|2013
10-14|0.5|1.3|0.8|17|III(e) Other specified intracranial & intraspinal neoplasms|20651132|2013
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|21180036|2013
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20572514|2013
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3931346|2013
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|15922787|2013
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20651132|2013
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|21180036|2013
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20572514|2013
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3931346|2013
1-4|21.6|26.5|23.9|381|IV Neuroblastoma and other peripheral nervous cell tumors|15922787|2013
10-14|1.1|2.2|1.5|32|IV Neuroblastoma and other peripheral nervous cell tumors|20651132|2013
15-19|0.4|1.2|0.8|16|IV Neuroblastoma and other peripheral nervous cell tumors|21180036|2013
5-9|3.8|5.8|4.7|97|IV Neuroblastoma and other peripheral nervous cell tumors|20572514|2013
<1|52.6|68.2|60.0|236|IV Neuroblastoma and other peripheral nervous cell tumors|3931346|2013
1-4|21.3|26.2|23.7|377|IV(a) Neuroblastoma and ganglioneuroblastoma|15922787|2013
10-14|0.6|1.5|1.0|20|IV(a) Neuroblastoma and ganglioneuroblastoma|20651132|2013
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|21180036|2013
5-9|3.7|5.6|4.6|94|IV(a) Neuroblastoma and ganglioneuroblastoma|20572514|2013
<1|52.6|68.2|60.0|236|IV(a) Neuroblastoma and ganglioneuroblastoma|3931346|2013
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|15922787|2013
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20651132|2013
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|21180036|2013
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20572514|2013
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3931346|2013
1-4|10.5|14.0|12.1|193|IX Soft tissue and other extraosseous sarcomas|15922787|2013
10-14|10.6|13.7|12.1|249|IX Soft tissue and other extraosseous sarcomas|20651132|2013
15-19|12.4|15.7|14.0|296|IX Soft tissue and other extraosseous sarcomas|21180036|2013
5-9|6.5|9.0|7.7|158|IX Soft tissue and other extraosseous sarcomas|20572514|2013
<1|15.9|25.0|20.1|79|IX Soft tissue and other extraosseous sarcomas|3931346|2013
1-4|7.1|10.0|8.5|135|IX(a) Rhabdomyosarcomas|15922787|2013
10-14|3.2|4.9|4.0|82|IX(a) Rhabdomyosarcomas|20651132|2013
15-19|2.7|4.4|3.5|74|IX(a) Rhabdomyosarcomas|21180036|2013
5-9|3.3|5.1|4.1|84|IX(a) Rhabdomyosarcomas|20572514|2013
<1|3.7|8.8|5.9|23|IX(a) Rhabdomyosarcomas|3931346|2013
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|15922787|2013
10-14|1.0|2.1|1.5|30|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20651132|2013
15-19|1.0|2.1|1.5|31|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|21180036|2013
5-9|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20572514|2013
<1|4.3|9.7|6.6|26|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3931346|2013
1-4|~|~|~|~|IX(c) Kaposi sarcoma|15922787|2013
10-14|~|~|~|~|IX(c) Kaposi sarcoma|20651132|2013
15-19|~|~|~|~|IX(c) Kaposi sarcoma|21180036|2013
5-9|~|~|~|~|IX(c) Kaposi sarcoma|20572514|2013
<1|~|~|~|~|IX(c) Kaposi sarcoma|3931346|2013
1-4|1.6|3.2|2.3|37|IX(d) Other specified soft tissue sarcomas|15922787|2013
10-14|4.4|6.5|5.4|111|IX(d) Other specified soft tissue sarcomas|20651132|2013
15-19|6.0|8.3|7.0|149|IX(d) Other specified soft tissue sarcomas|21180036|2013
5-9|1.9|3.4|2.6|53|IX(d) Other specified soft tissue sarcomas|20572514|2013
<1|3.1|7.9|5.1|20|IX(d) Other specified soft tissue sarcomas|3931346|2013
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|15922787|2013
10-14|0.8|1.8|1.3|26|IX(e) Unspecified soft tissue sarcomas|20651132|2013
15-19|1.4|2.7|2.0|42|IX(e) Unspecified soft tissue sarcomas|21180036|2013
5-9|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|20572514|2013
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3931346|2013
1-4|~|~|~|~|Not classified by ICCC|15922787|2013
10-14|~|~|~|~|Not classified by ICCC|20651132|2013
15-19|~|~|~|~|Not classified by ICCC|21180036|2013
5-9|~|~|~|~|Not classified by ICCC|20572514|2013
<1|~|~|~|~|Not classified by ICCC|3931346|2013
1-4|7.1|10.0|8.5|135|V Retinoblastoma|15922787|2013
10-14|~|~|~|~|V Retinoblastoma|20651132|2013
15-19|~|~|~|~|V Retinoblastoma|21180036|2013
5-9|~|~|~|~|V Retinoblastoma|20572514|2013
<1|24.2|35.1|29.3|115|V Retinoblastoma|3931346|2013
1-4|18.7|23.3|20.9|333|VI Renal tumors|15922787|2013
10-14|1.0|2.1|1.5|31|VI Renal tumors|20651132|2013
15-19|1.9|3.3|2.5|53|VI Renal tumors|21180036|2013
5-9|5.1|7.2|6.1|125|VI Renal tumors|20572514|2013
<1|12.5|20.8|16.3|64|VI Renal tumors|3931346|2013
1-4|18.7|23.2|20.9|332|VI(a) Nephroblastoma and other nonepithelial renal tumors|15922787|2013
10-14|0.4|1.3|0.8|16|VI(a) Nephroblastoma and other nonepithelial renal tumors|20651132|2013
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|21180036|2013
5-9|4.7|6.8|5.6|116|VI(a) Nephroblastoma and other nonepithelial renal tumors|20572514|2013
<1|12.1|20.2|15.8|62|VI(a) Nephroblastoma and other nonepithelial renal tumors|3931346|2013
1-4|~|~|~|~|VI(b) Renal carcinomas|15922787|2013
10-14|~|~|~|~|VI(b) Renal carcinomas|20651132|2013
15-19|1.6|3.0|2.2|47|VI(b) Renal carcinomas|21180036|2013
5-9|~|~|~|~|VI(b) Renal carcinomas|20572514|2013
<1|~|~|~|~|VI(b) Renal carcinomas|3931346|2013
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|15922787|2013
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|20651132|2013
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|21180036|2013
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|20572514|2013
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3931346|2013
1-4|4.6|7.0|5.7|91|VII Hepatic tumors|15922787|2013
10-14|~|~|~|~|VII Hepatic tumors|20651132|2013
15-19|0.8|1.9|1.3|27|VII Hepatic tumors|21180036|2013
5-9|0.6|1.5|1.0|20|VII Hepatic tumors|20572514|2013
<1|9.2|16.5|12.5|49|VII Hepatic tumors|3931346|2013
1-4|4.3|6.7|5.4|86|VII(a) Hepatoblastoma|15922787|2013
10-14|~|~|~|~|VII(a) Hepatoblastoma|20651132|2013
15-19|~|~|~|~|VII(a) Hepatoblastoma|21180036|2013
5-9|~|~|~|~|VII(a) Hepatoblastoma|20572514|2013
<1|9.0|16.2|12.2|48|VII(a) Hepatoblastoma|3931346|2013
1-4|~|~|~|~|VII(b) Hepatic carcinomas|15922787|2013
10-14|~|~|~|~|VII(b) Hepatic carcinomas|20651132|2013
15-19|0.8|1.9|1.3|27|VII(b) Hepatic carcinomas|21180036|2013
5-9|~|~|~|~|VII(b) Hepatic carcinomas|20572514|2013
<1|~|~|~|~|VII(b) Hepatic carcinomas|3931346|2013
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|15922787|2013
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20651132|2013
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|21180036|2013
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20572514|2013
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3931346|2013
1-4|2.1|3.8|2.8|45|VIII Malignant bone tumors|15922787|2013
10-14|11.8|15.0|13.4|276|VIII Malignant bone tumors|20651132|2013
15-19|13.0|16.3|14.5|308|VIII Malignant bone tumors|21180036|2013
5-9|4.9|7.1|5.9|122|VIII Malignant bone tumors|20572514|2013
<1|~|~|~|~|VIII Malignant bone tumors|3931346|2013
1-4|~|~|~|~|VIII(a) Osteosarcomas|15922787|2013
10-14|6.5|9.0|7.7|159|VIII(a) Osteosarcomas|20651132|2013
15-19|7.3|9.8|8.5|180|VIII(a) Osteosarcomas|21180036|2013
5-9|2.2|3.8|2.9|60|VIII(a) Osteosarcomas|20572514|2013
<1|~|~|~|~|VIII(a) Osteosarcomas|3931346|2013
1-4|~|~|~|~|VIII(b) Chondrosarcomas|15922787|2013
10-14|~|~|~|~|VIII(b) Chondrosarcomas|20651132|2013
15-19|0.4|1.2|0.8|16|VIII(b) Chondrosarcomas|21180036|2013
5-9|~|~|~|~|VIII(b) Chondrosarcomas|20572514|2013
<1|~|~|~|~|VIII(b) Chondrosarcomas|3931346|2013
1-4|1.4|2.8|2.0|32|VIII(c) Ewing tumor and related sarcomas of bone|15922787|2013
10-14|3.5|5.4|4.4|91|VIII(c) Ewing tumor and related sarcomas of bone|20651132|2013
15-19|3.2|5.0|4.1|86|VIII(c) Ewing tumor and related sarcomas of bone|21180036|2013
5-9|1.7|3.1|2.3|48|VIII(c) Ewing tumor and related sarcomas of bone|20572514|2013
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3931346|2013
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|15922787|2013
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|20651132|2013
15-19|0.5|1.3|0.8|17|VIII(d) Other specified malignant bone tumors|21180036|2013
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|20572514|2013
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3931346|2013
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|15922787|2013
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20651132|2013
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|21180036|2013
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20572514|2013
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3931346|2013
1-4|2.1|3.8|2.8|45|X Germ cell, trophoblastic tumors & neoplasms of gonads|15922787|2013
10-14|6.9|9.4|8.0|166|X Germ cell, trophoblastic tumors & neoplasms of gonads|20651132|2013
15-19|27.6|32.3|29.8|632|X Germ cell, trophoblastic tumors & neoplasms of gonads|21180036|2013
5-9|1.7|3.1|2.3|48|X Germ cell, trophoblastic tumors & neoplasms of gonads|20572514|2013
<1|19.3|29.3|23.9|94|X Germ cell, trophoblastic tumors & neoplasms of gonads|3931346|2013
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|15922787|2013
10-14|2.4|4.0|3.1|64|X(a) Intracranial & intraspinal germ cell tumors|20651132|2013
15-19|2.0|3.4|2.6|55|X(a) Intracranial & intraspinal germ cell tumors|21180036|2013
5-9|0.6|1.5|1.0|20|X(a) Intracranial & intraspinal germ cell tumors|20572514|2013
<1|2.3|6.6|4.1|16|X(a) Intracranial & intraspinal germ cell tumors|3931346|2013
1-4|0.7|1.9|1.2|19|X(b) Malignant extracranial & extragonadal germ cell tumors|15922787|2013
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20651132|2013
15-19|1.1|2.2|1.6|33|X(b) Malignant extracranial & extragonadal germ cell tumors|21180036|2013
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20572514|2013
<1|10.8|18.5|14.2|56|X(b) Malignant extracranial & extragonadal germ cell tumors|3931346|2013
1-4|0.9|2.1|1.4|22|X(c) Malignant gonadal germ cell tumors|15922787|2013
10-14|3.2|4.9|4.0|82|X(c) Malignant gonadal germ cell tumors|20651132|2013
15-19|20.9|25.0|22.9|485|X(c) Malignant gonadal germ cell tumors|21180036|2013
5-9|0.7|1.6|1.1|22|X(c) Malignant gonadal germ cell tumors|20572514|2013
<1|3.5|8.5|5.6|22|X(c) Malignant gonadal germ cell tumors|3931346|2013
1-4|~|~|~|~|X(d) Gonadal carcinomas|15922787|2013
10-14|~|~|~|~|X(d) Gonadal carcinomas|20651132|2013
15-19|1.3|2.5|1.8|38|X(d) Gonadal carcinomas|21180036|2013
5-9|~|~|~|~|X(d) Gonadal carcinomas|20572514|2013
<1|~|~|~|~|X(d) Gonadal carcinomas|3931346|2013
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|15922787|2013
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20651132|2013
15-19|0.6|1.5|1.0|21|X(e) Other and unspecified malignant gonadal tumors|21180036|2013
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20572514|2013
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3931346|2013
1-4|1.2|2.6|1.8|29|XI Other malignant epithelial neoplasms and malignant melanomas|15922787|2013
10-14|16.5|20.2|18.3|378|XI Other malignant epithelial neoplasms and malignant melanomas|20651132|2013
15-19|48.9|55.1|51.9|1100|XI Other malignant epithelial neoplasms and malignant melanomas|21180036|2013
5-9|4.5|6.6|5.4|112|XI Other malignant epithelial neoplasms and malignant melanomas|20572514|2013
<1|2.9|7.5|4.8|19|XI Other malignant epithelial neoplasms and malignant melanomas|3931346|2013
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|15922787|2013
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|20651132|2013
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|21180036|2013
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|20572514|2013
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3931346|2013
1-4|~|~|~|~|XI(b) Thyroid carcinomas|15922787|2013
10-14|7.5|10.1|8.8|181|XI(b) Thyroid carcinomas|20651132|2013
15-19|24.6|29.0|26.7|566|XI(b) Thyroid carcinomas|21180036|2013
5-9|1.1|2.3|1.6|33|XI(b) Thyroid carcinomas|20572514|2013
<1|~|~|~|~|XI(b) Thyroid carcinomas|3931346|2013
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|15922787|2013
10-14|0.6|1.6|1.0|21|XI(c) Nasopharyngeal carcinomas|20651132|2013
15-19|1.0|2.0|1.4|30|XI(c) Nasopharyngeal carcinomas|21180036|2013
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20572514|2013
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3931346|2013
1-4|0.6|1.7|1.1|17|XI(d) Malignant melanomas|15922787|2013
10-14|2.2|3.7|2.9|59|XI(d) Malignant melanomas|20651132|2013
15-19|9.1|11.9|10.4|220|XI(d) Malignant melanomas|21180036|2013
5-9|1.4|2.7|2.0|41|XI(d) Malignant melanomas|20572514|2013
<1|~|~|~|~|XI(d) Malignant melanomas|3931346|2013
1-4|~|~|~|~|XI(e) Skin carcinomas|15922787|2013
10-14|~|~|~|~|XI(e) Skin carcinomas|20651132|2013
15-19|~|~|~|~|XI(e) Skin carcinomas|21180036|2013
5-9|~|~|~|~|XI(e) Skin carcinomas|20572514|2013
<1|~|~|~|~|XI(e) Skin carcinomas|3931346|2013
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|15922787|2013
10-14|4.4|6.4|5.3|110|XI(f) Other and unspecified carcinomas|20651132|2013
15-19|11.8|14.9|13.3|281|XI(f) Other and unspecified carcinomas|21180036|2013
5-9|1.2|2.4|1.7|36|XI(f) Other and unspecified carcinomas|20572514|2013
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3931346|2013
1-4|~|~|~|~|XII Other and unspecified malignant neoplasms|15922787|2013
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|20651132|2013
15-19|1.0|2.0|1.4|30|XII Other and unspecified malignant neoplasms|21180036|2013
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|20572514|2013
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|3931346|2013
1-4|~|~|~|~|XII(a) Other specified malignant tumors|15922787|2013
10-14|~|~|~|~|XII(a) Other specified malignant tumors|20651132|2013
15-19|~|~|~|~|XII(a) Other specified malignant tumors|21180036|2013
5-9|~|~|~|~|XII(a) Other specified malignant tumors|20572514|2013
<1|~|~|~|~|XII(a) Other specified malignant tumors|3931346|2013
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|15922787|2013
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|20651132|2013
15-19|0.5|1.3|0.8|17|XII(b) Other unspecified malignant tumors|21180036|2013
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|20572514|2013
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3931346|2013
1-4|218.7|233.5|226.0|3599|All ICCC Groups Combined|15922170|2014
10-14|146.7|157.3|151.9|3140|All ICCC Groups Combined|20666961|2014
15-19|225.0|238.1|231.5|4874|All ICCC Groups Combined|21056378|2014
5-9|130.5|140.6|135.5|2781|All ICCC Groups Combined|20521818|2014
<1|269.0|302.6|285.4|1129|All ICCC Groups Combined|3955374|2014
1-4|84.3|93.6|88.9|1415|I Leukemias, myeloproliferative & myelodysplastic diseases|15922170|2014
10-14|30.1|35.1|32.6|673|I Leukemias, myeloproliferative & myelodysplastic diseases|20666961|2014
15-19|32.8|37.9|35.3|743|I Leukemias, myeloproliferative & myelodysplastic diseases|21056378|2014
5-9|40.4|46.2|43.2|887|I Leukemias, myeloproliferative & myelodysplastic diseases|20521818|2014
<1|41.0|54.8|47.5|188|I Leukemias, myeloproliferative & myelodysplastic diseases|3955374|2014
1-4|68.7|77.2|72.9|1160|I(a) Lymphoid leukemias|15922170|2014
10-14|19.3|23.4|21.3|440|I(a) Lymphoid leukemias|20666961|2014
15-19|15.4|19.0|17.1|360|I(a) Lymphoid leukemias|21056378|2014
5-9|32.0|37.1|34.5|707|I(a) Lymphoid leukemias|20521818|2014
<1|11.1|19.0|14.7|58|I(a) Lymphoid leukemias|3955374|2014
1-4|9.0|12.3|10.6|168|I(b) Acute myeloid leukemias|15922170|2014
10-14|5.6|7.8|6.6|137|I(b) Acute myeloid leukemias|20666961|2014
15-19|9.0|11.8|10.4|218|I(b) Acute myeloid leukemias|21056378|2014
5-9|4.1|6.1|5.0|103|I(b) Acute myeloid leukemias|20521818|2014
<1|15.6|24.6|19.7|78|I(b) Acute myeloid leukemias|3955374|2014
1-4|0.6|1.7|1.1|17|I(c) Chronic myeloproliferative diseases|15922170|2014
10-14|1.3|2.5|1.8|38|I(c) Chronic myeloproliferative diseases|20666961|2014
15-19|3.8|5.7|4.7|98|I(c) Chronic myeloproliferative diseases|21056378|2014
